time	date	Ageing	Aids	Animal Welfare	Bird Flu	BSE	Coal Pits	EU	Countryside	Crime	Defence	Drug Abuse	Economy	Education	Farming	German Reunification	GM foods	Housing	Inflation/Prices	Inner Cities	Local Govt	Low Pay	Morality	NHS	Northern Ireland	Nuclear Power	Nuclear Weapons	Pensions	Fuel Prices	Environment	The Pound	Poverty/Inequality	Privatisation	Public Services	Immigration	Scots/Welsh Assembly	Taxation	Trade Unions	Transport	Tsunami	Unemployment
130	19931001					4.0		14.0	3.0	19.0	3.0	6.0	10.0	32.0	41.0			5.0	1		1.0	2.0	3.0	41.0				8.0	7.0	5.0		6.0			16.0		4.0		4.0		12
131	19931101					5.0		17.0	3.0	16.0	1.0	5.0	9.0	29.0	49.0			4.0	2		1.0	2.0	2.0	37.0				8.0	4.0	4.0	1	5.0			10.0		5.0		6.0		10
132	19931201					1.0		23.0	1.0	25.0	5.0	5.0	11.0	37.0				7.0	2		1.0	3.0	3.0	48.0			1.0	11.0	8.0	5.0	1	6.0			18.0		7.0		9.0		12
133	19940101					1.0		21.0	2.0	30.0	3.0	6.0	11.0	32.0				6.0	3		2.0	3.0	4.0	50.0				8.0	8.0	6.0	2	6.0			11.0		6.0		9.0		12
134	19940201					1.0		26.0	2.0	26.0	3.0	7.0	10.0	29.0			1.0	7.0	2		2.0	2.0	5.0	45.0				9.0	11.0	9.0	2	5.0			8.0		7.0		14.0		7
135	19940301					3.0		27.0	2.0	13.0	6.0	5.0	12.0	27.0			2.0	6.0	3		2.0	4.0	4.0	46.0				14.0	17.0	14.0	1	6.0			6.0		9.0		9.0		10
136	19940401					1.0		24.0	1.0	19.0	4.0	7.0	9.0	25.0				5.0	4		2.0	2.0	5.0	44.0	1.0			19.0	22.0	4.0	1	8.0			10.0		9.0		12.0		10
137	19940501					1.0		21.0	2.0	13.0	2.0	3.0	10.0	30.0			1.0	5.0	4		2.0	2.0	3.0	46.0	1.0			23.0	31.0	5.0	1	7.0			6.0		13.0		7.0		10
138	19940601					1.0		24.0	1.0	26.0	2.0	6.0	11.0	32.0			1.0	5.0	4		1.0	3.0	5.0	49.0	1.0			15.0		4.0	1	6.0			11.0		6.0		8.0		16
139	19940701					1.0		19.0	1.0	34.0	2.0	6.0	12.0	34.0			1.0	7.0	5		2.0	3.0	5.0	51.0	1.0			14.0		5.0	2	8.0			11.0		11.0		13.0		17
140	19940801							24.0	1.0	23.0	3.0	8.0	9.0	32.0			1.0	7.0	4		1.0	4.0	4.0	55.0	1.0			12.0		4.0	2	8.0			17.0		7.0		4.0		17
141	19940901		1.0	1.0		1.0		19.0	2.0	34.0	4.0	10.0	11.0	30.0			3.0	9.0	3		2.0	2.0	6.0	45.0	2.0		1.0	15.0		5.0	1	9.0	1.0		16.0	1.0	4.0		6.0		23
142	19941001							17.0	2.0	16.0	3.0	7.0	11.0	35.0			2.0	10.0	2			2.0	5.0	53.0	2.0		1.0	14.0		5.0	1	9.0			19.0	1.0	6.0		6.0		21
143	19941101							20.0	1.0	20.0	2.0	10.0	7.0	37.0			2.0	9.0	3		1.0	4.0	5.0	57.0	2.0		1.0	12.0		6.0	1	9.0			13.0		5.0		4.0		18
144	19941201					1.0		25.0	2.0	18.0	3.0	6.0	11.0	32.0			1.0	6.0	4		2.0	4.0	4.0	54.0	6.0		1.0	13.0		3.0	2	7.0			12.0		5.0		5.0		19
145	19950101							22.0	1.0	24.0	4.0	8.0	11.0	32.0			1.0	9.0	3		1.0	4.0	5.0	70.0	2.0		2.0	12.0		5.0	1	8.0			7.0		5.0		7.0		20
146	19950201		2.0	2.0		5.0		32.0	2.0	15.0	4.0	6.0	10.0	33.0			1.0	8.0	3		1.0	4.0	5.0	41.0	2.0		1.0	13.0		6.0	1	10.0	1.0		4.0	1.0	5.0		14.0		18
147	19950301		1.0	1.0		4.0		23.0	2.0	24.0	5.0	8.0	13.0	29.0			1.0	11.0	4		2.0	5.0	5.0	40.0	4.0		1.0	14.0		8.0	1	10.0			5.0		4.0		12.0		21
148	19950401					4.0		34.0	3.0	16.0	5.0	7.0	9.0	31.0			1.0	9.0	5		1.0	2.0	3.0	41.0	2.0		1.0	12.0		7.0	2	11.0			8.0		3.0		10.0		17
149	19950501					1.0		23.0	3.0	21.0	5.0	12.0	11.0	31.0			2.0	8.0	4		1.0	3.0	6.0	39.0	3.0		1.0	14.0		7.0	1	14.0			7.0	1.0	2.0		5.0		22
150	19950601					1.0		25.0	2.0	19.0	5.0	5.0	13.0	30.0			3.0	8.0	6		1.0	3.0	4.0	41.0	2.0		1.0	11.0		6.0	1	9.0	1.0		10.0		5.0		7.0		24
151	19950701					1.0		30.0	1.0	16.0	7.0	6.0	13.0	30.0			1.0	8.0	4		1.0	2.0	3.0	39.0	10.0		1.0	7.0		8.0	1	7.0			7.0	1.0	4.0		11.0		21
152	19950801					1.0		37.0	1.0	18.0	16.0	7.0	16.0	29.0				9.0	4		1.0	3.0	6.0	35.0	2.0		2.0	10.0		5.0	1	8.0	1.0		7.0	2.0	3.0		4.0		19
153	19950901		1.0	1.0				26.0	1.0	18.0	28.0	6.0	15.0	27.0				9.0	3		1.0	3.0	5.0	33.0			3.0	11.0		6.0	1	8.0			6.0	1.0	3.0	1.0	3.0		23
154	19951001							15.0	1.0	20.0	28.0	9.0	13.0	31.0				6.0	5		1.0	4.0	3.0	34.0	2.0		4.0	7.0		4.0	1	9.0			8.0	2.0	5.0		3.0		27
155	19951101					1.0		32.0	1.0	16.0	4.0	5.0	15.0	29.0				7.0	4		2.0	3.0	5.0	37.0	3.0		1.0	10.0		5.0	1	10.0			5.0	1.0	5.0		3.0		25
156	19951201		1.0	1.0		3.0		30.0	2.0	19.0	8.0	6.0	13.0	29.0				7.0	4		1.0	4.0	4.0	39.0	3.0		2.0	11.0		5.0	1	9.0			7.0	1.0	3.0		2.0		26
157	19960101					1.0		27.0	2.0	17.0	7.0	5.0	19.0	32.0				7.0	4		2.0	4.0	5.0	49.0	1.0		2.0	10.0		6.0	1	5.0	1.0		4.0	1.0	3.0		2.0		26
158	19960201					1.0		32.0	1.0	17.0	5.0	6.0	18.0	26.0				8.0	6		1.0	3.0	5.0	34.0	2.0		1.0	10.0		3.0		8.0			7.0	1.0	3.0		4.0		30
159	19960301					2.0		26.0	2.0	17.0	8.0	6.0	21.0	32.0				7.0	5		2.0	4.0	4.0	37.0	1.0		2.0	11.0		5.0	2	7.0			6.0		5.0		3.0		35
