166	00:13:42,814	00:13:43,814	$<I> Halt! </ I>
167	00:14:07,590	00:14:09,364	$His Holiness is praying.
168	00:14:09,394	00:14:11,244	$He will not be disturbed.
169	00:14:12,393	00:14:15,443	$Give the order, and we'll$clear out this rebel. .
170	00:14:17,232	00:14:18,232	$You mean...
171	00:14:18,262	00:14:19,262	$kill them?
172	00:14:20,119	00:14:21,369	$Him? The Septon?
173	00:14:21,658	00:14:24,508	$You'll be sending them to$meet the Gods that they love.
174	00:14:28,151	00:14:29,151	$<I> Bastard! </I>
175	00:14:30,931	00:14:32,231	$<I> You are an abomination! </I>
176	00:14:37,494	00:14:39,244	$<I> You're born of sin! </I>
177	00:14:40,252	00:14:41,552	$<I> Filthy Bastard! </I>
178	00:14:46,846	00:14:48,546	$We'll find another way.
179	00:14:50,769	00:14:51,769	$<I> Abomination! </I>
180	00:14:58,364	00:14:59,414	$My Queen?
181	00:15:05,376	00:15:09,526	$There was no way to free Ser$Loras without violence.
182	00:15:11,171	00:15:12,684	$You're the King of the Andals.
183	00:15:13,696	00:15:16,896	$The Lord of the Seven Kingdoms,$the Protector of the Realm.
184	00:15:17,558	00:15:21,458	$And you let a band of fanatics$imprison your brother by law.
185	00:15:22,428	00:15:25,378	$- I'm going to speak with the High Sparrow.$- Are you? When?
186	00:15:27,922	00:15:29,772	$- I don't know...$- You don't know?
187	00:15:29,954	00:15:31,724	$He was praying... just now.
188	00:15:35,630	00:15:38,462	$I have to send word to Grandmother.
189	00:15:38,492	00:15:39,988	$Will come back later?
190	00:15:42,513	00:15:45,363	$I need to be with my$family, Your Grace.
191	00:15:46,501	00:15:47,551	$Of course...
192	00:15:50,821	00:15:53,571	$- You think highly of this boy?$- <i> Good! </i>
193	00:15:54,067	00:15:55,889	$Lord Commander of$the Night's Watch.
194	00:15:55,919	00:15:58,612	$It is a bastard by some tavern slut.
195	00:15:58,642	00:16:01,126	$Perhaps.$But that wasn't Ned Starks way.
196	00:16:05,829	00:16:08,179	$I should've given you a son.
197	00:16:09,630	00:16:12,430	$- Not your fault$- Who's then?
198	00:16:13,333	00:16:15,283	$I gave him nothing but weakness
199	00:16:18,748	00:16:19,898	$and deformity.
200	00:16:21,229	00:16:24,101	$Those scars mean nothing$to the Lord of Light.
201	00:16:24,131	00:16:25,133	$My Lady.
202	00:16:26,304	00:16:28,640	$Her father's the$Lords chosen King.
203	00:16:28,670	00:16:31,570	$And her father's blood$runs through her veins.
204	00:16:40,762	00:16:42,861	$You march on Winterfell soon?
205	00:16:42,891	00:16:44,141	$We must.
206	00:16:44,562	00:16:46,562	$To beat the Snow's.
207	00:16:47,492	00:16:52,142	$Once before, you put your faith$in Ser Davos and left me behind.
208	00:16:54,566	00:16:56,621	$I hope you won't make$that mistake again.
209	00:16:56,651	00:16:57,801	$I won't.
210	00:17:01,139	00:17:02,489	$I need you.
211	00:17:02,679	00:17:05,679	$You only need faith, My King.
212	00:17:09,620	00:17:11,920	$And you, my lady,$what do you need?
213	00:17:13,425	00:17:15,225	$To serve my Lord.
214	00:17:20,015	00:17:21,167	$Lord Ashford
215	00:17:27,521	00:17:28,771	$Lady Caulfield
216	00:17:32,131	00:17:33,381	$Lord Smallwood
217	00:17:34,400	00:17:38,360	$- Never even heard of these people.$- They haven't heard of you either.
218	00:17:38,390	00:17:41,740	$But we need men, and$they have some.
219	00:17:43,233	00:17:46,083	$How many men does this, Lord$Mason, have to send us?
220	00:17:46,347	00:17:49,097	$More than Lord Webbly.
221	00:18:01,963	00:18:03,413	$- Not him.$- I know..
222	00:18:03,578	00:18:06,619	$I'm sorry.$But we need men, and supplies, and
223	00:18:06,649	00:18:09,311	$- Roose Bolton's the Warden of the North$- He murdered my brother.
224	00:18:09,341	00:18:12,918	$We swore to be the$watcher's on the wall.
225	00:18:12,948	00:18:16,398	$We can't watch the$wall with fifty men,
226	00:18:16,707	00:18:21,157	$and we can't get more men without$help from the Warden of the North.
227	00:18:43,637	00:18:45,287	$Apologies my lady.
228	00:18:57,615	00:18:58,915	$Lord Commander.
229	00:18:59,864	00:19:01,364	$How can I help you?
230	00:19:01,880	00:19:03,680	$Come with us when we ride South.
231	00:19:04,288	00:19:07,131	$None of us know the$castle as well as you do.
232	00:19:07,210	00:19:08,510	$Its hidden tunnels...
233	00:19:08,700	00:19:10,750	$its weaknesses, its people.
234	00:19:12,280	00:19:14,630	$Winterfell was your home once,
235	00:19:16,022	00:19:18,872	$don't you want to chase$the rats out of it?
236	00:19:21,154	00:19:23,404	$Castle Black is my home now.
237	00:19:24,099	00:19:27,281	$The Night's Watch take no part in$the wars of the Seven Kingdom's.
238	00:19:27,311	00:19:28,911	$There's only one war.
239	00:19:29,572	00:19:31,272	$Life against death.
240	00:19:33,473	00:19:34,473	$Come...
241	00:19:34,846	00:19:36,660	$Let me show you what$you're fighting for.
242	00:19:36,690	00:19:39,585	$You gonna show me some$vision in the fire.
243	00:19:39,670	00:19:41,220	$Forgive me my lady...
244	00:19:41,250	00:19:43,200	$I don't trust in visions.
245	00:19:44,379	00:19:45,679	$No visions.
246	00:19:46,010	00:19:47,210	$No magic.
247	00:19:48,262	00:19:49,512	$Just life...
248	00:20:09,927	00:20:11,977	$Do you feel my heart beating?
249	00:20:14,793	00:20:16,743	$This power in you...
250	00:20:17,183	00:20:19,521	$you resisted, and that's your mistake.
251	00:20:19,551	00:20:20,588	$Embrace it.
252	00:20:31,730	00:20:34,730	$The Lord of Light made$us male and female.
253	00:20:35,430	00:20:37,730	$Two parts of a greater whole.
254	00:20:38,879	00:20:40,241	$You're not joining
255	00:20:40,271	00:20:41,757	$this power.
256	00:20:42,956	00:20:44,906	$The power to make life.
257	00:20:45,266	00:20:47,027	$Power to make light.
258	00:20:47,940	00:20:50,046	$And the power to cast shadows...
259	00:20:50,729	00:20:53,378	$I don't think Stannis,$would like that very much.
260	00:20:54,770	00:20:56,770	$Then we shouldn't tell.
261	00:20:57,808	00:20:58,808	$I can't.
262	00:20:59,566	00:21:00,566	$Why?
263	00:21:01,489	00:21:02,839	$I swore a vow.
264	00:21:05,470	00:21:07,020	$I loved another...
265	00:21:07,693	00:21:09,893	$The Death don't need lovers,
266	00:21:10,090	00:21:11,190	$only living.
267	00:21:16,677	00:21:17,677	$I know...
268	00:21:19,687	00:21:21,137	$but I still love her.
269	00:21:36,382	00:21:38,132	$You know nothing, Jon Snow.
270	00:22:16,090	00:22:17,290	$Are you lonely?
271	00:22:19,224	00:22:20,224	$Just bored.
272	00:22:20,254	00:22:24,160	$My father used to tell me that boredom$indicates a lack of inner resources.
273	00:22:24,190	00:22:26,090	$Were you bored a lot too?
274	00:22:26,732	00:22:28,012	$I know Castle Black...
275	00:22:28,042	00:22:30,644	$- is no place for a child. But I...$- I like it!
276	00:22:30,674	00:22:32,824	$I thought I'd be left at home.
277	00:22:33,233	00:22:35,789	$I know mother didn't want to bring me.
278	00:22:36,116	00:22:37,616	$Why'd you say that?
279	00:22:39,392	00:22:41,654	$She told me, "I don't$want to bring you."
280	00:22:43,564	00:22:45,314	$She shouldn't have said that.
281	00:22:55,321	00:22:57,072	$Are you ashamed of me, father?
282	00:23:08,601	00:23:10,151	$When you were an infant...
283	00:23:11,127	00:23:13,423	$A Dornish trader$landed on Dragonstone.
284	00:23:14,611	00:23:18,211	$His goods were junk, except for...$one wooden doll.
285	00:23:19,408	00:23:22,708	$We even sowed a dress on it,$in the colors of our house.
286	00:23:24,704	00:23:27,234	$No doubt you've heard of your birth.
287	00:23:27,264	00:23:30,664	$And assumed new father's$were easy targets.
288	00:23:33,864	00:23:37,864	$I still remember how you smiled when$I put that doll in your cradle,
289	00:23:38,617	00:23:40,393	$and you pressed it to your cheek.
290	00:23:48,119	00:23:50,444	$By the time we burned the$doll, it was too late.
291	00:23:53,480	00:23:55,480	$I was told you would die,
292	00:23:56,118	00:23:57,168	$or worse...
293	00:23:58,824	00:24:01,222	$the grey scale would go slow.
294	00:24:01,252	00:24:05,858	$That you'd grow just enough to know the$world before taking it away from you.
295	00:24:05,888	00:24:08,438	$Everyone advised me to send$you to the ruins of Valirya
296	00:24:08,468	00:24:10,712	$to live out your short$life with the Stone Men,
297	00:24:10,742	00:24:13,742	$before the sickness spread$through the castle.
298	00:24:15,297	00:24:17,859	$I told them all to go to hell.
299	00:24:19,313	00:24:21,913	$I called in every maestro$on this side of the world.
300	00:24:22,109	00:24:23,359	$Every Healer...
301	00:24:23,712	00:24:24,913	$every Apothecary.
302	00:24:27,299	00:24:29,899	$They stopped the disease$and saved your life.
303	00:24:31,002	00:24:34,752	$Because you did not belong across the$world with the bloody Stone Men.
304	00:24:35,777	00:24:38,977	$You are the Princess Shireen$of House Baratheon.
305	00:24:40,923	00:24:42,273	$And you are my daughter.
306	00:25:44,414	00:25:46,264	$I thought I might find you here.
307	00:25:49,315	00:25:50,665	$Your Aunt Lyanna...
308	00:25:51,771	00:25:53,921	$Father never talked about her.
309	00:25:55,413	00:25:58,913	$Sometimes, I'd find him down$here lighting the candles.
310	00:26:00,056	00:26:01,956	$They say she was beautiful.
311	00:26:02,451	00:26:03,896	$I saw her once.
312	00:26:03,926	00:26:07,176	$I was a boy, living with$your mother's family.
313	00:26:07,273	00:26:09,973	$Lord Whent of the Great$Tourney at Arrenhal.
314	00:26:11,210	00:26:12,510	$Everyone was there...
315	00:26:13,016	00:26:14,116	$the Mad King,
316	00:26:14,709	00:26:15,709	$your father,
317	00:26:16,363	00:26:17,663	$Robert Baratheon,
318	00:26:18,796	00:26:19,796	$and Lyanna.
319	00:26:20,059	00:26:22,359	$She was already$promised to Robert.
320	00:26:23,099	00:26:26,136	$You can imagine what it was like$for me, a boy from nowhere...
321	00:26:26,166	00:26:27,666	$nothing to his name...
322	00:26:28,322	00:26:30,273	$watching these legendary men
323	00:26:30,303	00:26:32,203	$tilting of the lists.
324	00:26:33,081	00:26:34,777	$The last two rider's were...
325	00:26:34,807	00:26:37,060	$Barristan Selmy and Rheagar Targaryen.
326	00:26:37,911	00:26:41,361	$When Rheagar won, everyone$cheered for their Prince.
