baratheon	greyjoy	lannister	martell	stark	targaryen	tyrell	time	episode	season
0	0	1	0	5	0	0	52	2	1
0	0	0	0	3	0	0	53	2	1
0	0	0	0	1	0	0	54	2	1
0	0	1	0	3	0	0	55	2	1
0	0	0	0	0	0	0	56	2	1
0	0	0	0	0	0	0	57	2	1
0	0	0	0	0	0	0	58	2	1
0	0	0	0	0	0	0	59	2	1
1	0	0	0	1	0	0	0	3	1
0	0	0	0	0	0	0	1	3	1
0	0	0	0	0	0	0	2	3	1
0	0	0	0	0	0	0	3	3	1
0	0	0	0	0	0	0	4	3	1
0	0	0	0	0	0	0	5	3	1
0	0	0	0	0	1	0	6	3	1
1	0	1	0	3	0	0	7	3	1
0	0	0	0	0	0	0	8	3	1
2	0	1	0	0	0	0	9	3	1
0	0	0	0	0	1	0	10	3	1
0	0	0	0	0	0	0	11	3	1
0	0	0	0	1	0	0	12	3	1
0	0	1	0	1	0	0	13	3	1
0	0	0	0	1	0	0	14	3	1
0	0	0	0	0	0	0	15	3	1
0	0	2	0	0	0	0	16	3	1
0	0	0	0	0	0	0	17	3	1
0	0	0	0	0	0	0	18	3	1
0	0	0	0	0	0	0	19	3	1
0	0	0	0	1	0	0	20	3	1
0	0	0	0	0	0	0	21	3	1
0	0	0	0	0	0	0	22	3	1
0	0	2	0	0	0	0	23	3	1
0	0	1	0	1	0	0	24	3	1
0	0	0	0	1	0	0	25	3	1
0	0	0	0	1	0	0	26	3	1
0	0	0	0	0	0	0	27	3	1
0	0	0	0	0	0	0	28	3	1
0	0	1	0	2	0	0	29	3	1
0	0	1	0	1	0	0	30	3	1
1	0	0	0	1	0	0	31	3	1
0	0	0	0	0	0	0	32	3	1
0	0	0	0	0	0	0	33	3	1
0	0	1	0	0	0	0	34	3	1
0	0	1	0	0	0	0	35	3	1
0	0	2	0	0	1	0	36	3	1
0	0	0	0	0	0	0	37	3	1
0	0	0	0	0	1	0	38	3	1
0	0	0	0	0	2	0	39	3	1
