anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk	season	episode
war:1	war:1	sister:1,woman:1,remain:1,kingdoms:1		boy:1,woman:1,men:1	war:1	hands:2,loved:1,what:1,rhaegar:1,khal:1,chance:1,have:1,has:1		horde:2,who:2,loved:1,those:1		27	1	2
										28	1	2
		brothers:1,family:1	family:1			lovely:1		lovely:1,whole:1,choose:1,choice:1		29	1	2
dwarf:1	die:1,woods:1,dwarf:1	king:4,brother:2,sister:1,part:1,expected:1,married:1			dwarf:1	what:2,look:1,hand:1,agree:1,that:1		house:1,honor:1		30	1	2
warned:1,dwarf:1	warned:1,dwarf:1	maybe:1,brothers:1,brother:1,smart:1,grumpkins:1		boy:2	warned:1,dwarf:1	what:1,books:1,like:1,have:1,that:1,has:1		how:1		31	1	2
				lady:1		better:1,that:1,has:1,wine:1		how:1		32	1	2
steward:1	die:1,good:1,steward:1	maester:1,make:1,passed:1,mother:1	room:1	appointments:3,lady:2	steward:1	care:2,what:1,good:1,luwin:1,have:1,that:1,has:1		passed:1	dangerous:1,passed:1	33	1	2
	dead:1	make:1			close:1	windows:1,what:1,already:1,happening:1	mercy:1			34	1	2
										35	1	2
	goddess:1			men:1	close:1	khaleesi:2,that:2,everywhere:1,have:1		thousand:2		36	1	2
		make:2,mother:1,brother:1,man:1		men:2,man:1		happy:3,khaleesi:1,like:1,khal:1		how:2,house:1		37	1	2
										38	1	2
		remain:1				what:1,that:1				39	1	2
war:3	war:3,godswood:1	reason:1,brother:1,man:1	home:1	boy:1,child:1,lady:1,man:1	war:3	what:2,easily:1,already:1,handle:1,have:1,that:1,fine:1		home:1		40	1	2
		king:1,woman:1,accompany:1,mother:1,party:1,kingsroad:1		myself:1,woman:1,guardsmen:1		what:1,hal:1,have:1,hands:1,winterfell:1,than:1		trust:1	dangerous:1	41	1	2
		man:1		man:1		khaleesi:1,love:1,look:1,that:1		love:1		42	1	2
		woman:1,palaces:1,kings:1,make:1,magisters:1,man:1		men:2,woman:1,man:1		like:4,khaleesi:2,khals:1,what:1,have:1,that:1,had:1		hours:1,thousand:1,hound:1,bitch:1		43	1	2
	good:1	make:1,marry:1				good:1,khaleesi:1,like:1,khal:1,that:1,love:1		love:1		44	1	2
						anha:1,hatif:1				45	1	2
										46	1	2
		making:1,pardon:1		girl:1		shake:1,look:1,that:1				47	1	2
executioner:1,mad:1		king:2,payne:1,executioner:1,mad:1		lady:3	since:1,mad:1,scaring:1	hasn:1,won:1,like:1,scaring:1,sweet:1,had:1,what:1	since:1	hot:1,hound:1,though:1		48	1	2
		sister:1		boy:3		have:2,what:1		who:2,shouldn:1		49	1	2
	good:1	sister:1		boy:2,lady:1		that:2,good:1,won:1		how:1,bitch:1		50	1	2
						look:2,what:1				51	1	2
						what:1			check:1	52	1	2
		king:2,brought:1,woman:1,manner:1,son:1		girl:2,boy:1,woman:1,manner:1	business:1	that:2,unharmed:1,what:1,took:1	business:1	how:1,who:1		53	1	2
hells:1		make:1,animal:1	bed:1	boy:1,child:1		what:4,that:4,happened:3,true:2	hells:1	bit:1	hells:1	54	1	2
		king:1,animal:1,son:1		girl:1,children:1		that:5,great:1,have:1,gladly:1,happened:1,what:1,grace:1				55	1	2
	good:1	command:1,son:1	pet:1	lady:5,command:1		what:2,grace:2,good:1,happier:1,have:1,that:1		bite:1		56	1	2
			rooms:1	myself:1,girls:1		better:1,chained:1,grace:1,than:1		honor:1		57	1	2
	rode:1			boy:1						58	1	2
										59	1	2
	rode:1	speaking:1,manned:1,brothers:1,family:1	family:1	manned:1		have:5,great:1,has:1,that:1,what:1,hands:1,lovely:1,grace:1		thousands:1,horselord:1,hospitality:1,lovely:1,whole:1,honor:1,choice:1		0	1	3
	good:1			lady:2,boy:1,myself:1		what:3,that:2,happened:2,good:1,have:1,grace:1		bite:1		1	1	3
										2	1	3
