anger	death	family	home	humans	insight	negative	percept	positive	social	time
					know:1,think:1	worse:1,empty:2	say:1,noise:1,says:1,look:2,see:1,speak:1	funny:1,sure:2,ok:1,promised:1,fun:1,promise:1	ask:1,say:1,says:1,speak:1	43
	alive:1				think:1,know:2		taste:2,said:1,says:1,look:1,speak:1	good:1,ok:3,interested:1	everything:1,said:1,says:1,talking:1,tell:1,us:2,speak:1	44
		son:1	cleaning:1,clean:3	self:1,kid:1	find:2,mean:1	ruined:1	say:1,hear:1,scan:2,shining:1,salt:1,speak:1	wow:1,free:1,nice:1	speak:1,say:1,everyone:1,hear:1,self:1,kid:1,son:1	45
nasty:1				guy:1,kid:2	thinking:1,reckon:1,find:1		look:2	good:1,ok:1,calm:1,yay:1,promise:1,excited:2	everybody:2,somebody:1,help:3,guy:1,hey:1,kid:2	46
fighting:1		son:4			find:1,know:2		orange:1,tongue:1	love:1	everybody:1,love:1,tell:1,fighting:1,son:4	47
	dead:3,alive:1	dad:1,uncle:1		guy:2	found:1,find:2	hurt:1	whites:1,see:2,loud:2,look:1	yay:1,like:1,easy:2,amazon:1,sweetie:2,goodness:1,playing:1,smart:1,happy:2	dad:1,guy:2,uncle:1,sweetie:2,hey:1	48
mad:1		dad:1,daddy:3				mad:1,worry:1	fire:1,hair:1,ring:1,said:1	yay:1,ok:1,happy:1	dad:1,daddy:3,hi:1,tell:1,said:1	49
			home:1		remember:2,know:1		look:2	better:1,please:2,thank:1,truly:1	hey:2	50
		dad:4	home:1		feel:1,think:1,remember:1,know:2	lost:1	feel:1,sweet:1,looking:1,look:2,seen:1	sweet:1,heaven:1,please:1,ok:1	dad:4,excuse:1,someone:1,somebody:1,mate:1,hey:11	51
	dead:2,alive:1	dad:12,daddy:2,father:3	home:1		found:1,know:1		bluey:1,look:1,orange:1,seen:1,saw:2,looks:1	nice:1,thank:1,goodness:1,like:1	dad:12,name:1,daddy:2,father:3,hey:6,talk:1	52
		dad:1,son:2			understand:1,know:3	wrong:1,lose:1	heard:1,look:1,saying:1	ok:1,save:1,well:1,lucky:1	dad:1,everybody:2,help:4,saying:1,us:1,son:2,heard:1,tell:3	53
hate:1		dad:3,daddy:3,son:1						great:1,ok:1,thank:1,goodness:1	dad:3,daddy:3,give:1,hey:1,son:1	54
		son:1	home:1	guys:1	know:1,think:1,explorers:1,knows:1,remember:1	seriously:1	see:1,said:1,says:1,looks:1,sweet:1,say:1,sandy:4	sure:1,like:1,sweet:1,win:1,friends:1,safely:1,thanks:1	said:1,says:1,met:1,guys:1,hey:1,son:1,everything:1,say:1,friends:1,hello:2	55
		dad:4,son:3	clean:1	mr:1	understand:1,knowledge:1		light:1,see:2,red:1,seen:1	fun:1,good:1,love:2,adventure:1	dad:4,love:2,mr:1,ya:1,bye:8,son:3	56
					know:1	doubt:1	sands:1,watches:1,watchin:1	lover:1,like:2,kiss:1,happy:1	meet:1,lover:1	57
					know:2	doubt:1		good:1,kiss:1,friend:1,happy:1	meet:2,bye:1,friend:1	58
										59
