time	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
109	0	1	9	4	1	0	11	0	4	0
110	0	2	2	0	1	0	4	0	4	1
111	0	1	11	2	6	1	15	2	13	0
112	0	5	8	3	6	2	19	2	3	0
113	0	2	6	0	9	0	11	0	7	0
114	4	4	13	2	4	2	18	1	7	0
115	2	6	14	0	7	5	19	1	10	2
116	0	2	2	0	1	0	5	1	2	0
117	1	0	3	0	0	1	5	0	3	0
118	2	5	9	0	1	3	11	1	5	1
119	0	3	3	0	5	0	4	0	1	1
120	1	5	17	9	2	0	12	0	13	0
121	5	4	6	1	8	8	13	1	9	2
122	0	0	8	0	2	4	8	2	7	0
123	2	6	12	0	6	2	19	0	8	0
124	0	3	11	0	4	1	11	1	9	0
125	2	2	9	2	3	7	22	5	3	0
126	3	1	6	0	5	3	14	1	2	1
127	0	3	10	2	8	0	13	0	6	0
128	5	5	18	1	7	5	18	1	10	1
129	4	7	9	1	8	4	17	0	15	0
130	3	6	4	1	7	3	22	0	6	0
131	2	5	12	0	8	2	14	0	3	0
132	3	7	7	0	8	4	20	1	13	1
133	5	3	9	0	2	4	18	0	8	0
134	1	2	6	0	5	4	10	1	6	0
135	2	3	6	0	2	1	8	0	7	1
136	0	0	5	0	2	1	16	0	4	0
137	1	2	8	0	6	1	19	2	6	1
138	1	3	12	0	4	1	12	0	1	0
139	0	0	1	0	0	0	0	0	0	0
140	0	2	9	0	4	0	16	0	6	0
141	3	6	11	0	4	2	22	1	4	2
142	0	0	1	0	0	0	2	0	0	0
143	2	4	6	0	2	2	2	0	3	0
144	1	3	4	1	3	1	7	0	2	1
145	3	3	8	1	3	3	9	0	1	0
146	1	6	0	1	0	0	8	0	3	1
147	0	1	0	0	1	0	18	0	4	0
148	0	1	0	0	0	1	19	1	2	0
149	1	1	4	0	0	1	19	1	10	1
150	0	0	4	0	2	0	9	0	1	0
151	3	5	14	1	9	6	7	2	7	2
152	2	0	9	1	4	0	11	0	6	0
153	1	4	10	0	7	1	19	0	6	2
154	4	1	13	1	9	1	14	0	9	2
155	3	1	13	2	6	4	16	3	8	1
156	1	3	9	1	3	1	10	0	6	1
157	1	1	1	0	1	1	1	0	1	0
